policy_name,budget,n_seeds,mean_error,median_error,error_p25,error_p75,policy_wins_vs_uniform,win_rate_vs_uniform,mean_relative_error_vs_uniform,median_relative_error_vs_uniform,relative_error_p25_vs_uniform,relative_error_p75_vs_uniform,policy_label,policy_order
stochastic_exploration_bonus_c1.0,585,30,6.110632480102253e-06,5.947193735345719e-06,3.5454677168473556e-06,7.527432952379833e-06,12.0,0.4,1.3161099385291055,1.0770356462502457,0.8452113434902191,1.7030711286828786,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,630,30,5.2816661140501286e-06,4.513796264832411e-06,2.5843160592673616e-06,7.735645470862977e-06,14.0,0.4666666666666667,1.1178596864878694,1.051063734321202,0.5812732731813093,1.4777364787944198,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,675,30,5.391380915453842e-06,4.458517117158176e-06,3.3147825573124494e-06,6.250902121374807e-06,15.0,0.5,1.190930992136387,0.9880577786461231,0.6967140978545342,1.4668674290945003,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,720,30,5.428193278628631e-06,5.171522319969819e-06,2.840654822634017e-06,6.3273027634004276e-06,16.0,0.5333333333333333,1.1138131072931827,0.8709829413454662,0.5448470521510488,1.4768394474271955,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,765,30,5.180308036425789e-06,5.074066310367088e-06,2.8704299174537336e-06,7.440837366201287e-06,13.0,0.43333333333333335,1.7219025877619751,1.213242792235043,0.6243155161295351,2.135234348781026,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,810,30,5.7057420430231515e-06,5.45524604505579e-06,2.175510957224726e-06,7.742129599771458e-06,11.0,0.36666666666666664,1.5120977664618593,1.330035785352903,0.6783943356460239,1.9509116442098493,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,855,30,4.547280832641023e-06,4.3205227977256565e-06,3.0723303908081284e-06,5.932900801499451e-06,14.0,0.4666666666666667,1.2184753708282838,1.031477691808125,0.6596132416610189,1.5495508333954537,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,900,30,4.301266348946654e-06,3.089613170561729e-06,1.8716694884903453e-06,4.964126535200076e-06,21.0,0.7,0.8940615904234369,0.7198630140987115,0.43565299491711085,1.229631946138402,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,945,30,3.57784607365728e-06,2.410625483107881e-06,1.63712504613294e-06,4.648757978246678e-06,16.0,0.5333333333333333,1.2023966173384801,0.8466893790327101,0.5974803481848937,1.5348860450512345,Stoch bonus c=1.0,2
stochastic_exploration_bonus_c1.0,990,30,4.016967826522036e-06,3.918825219926195e-06,2.2277017378104e-06,4.863920978564367e-06,12.0,0.4,1.209542164806733,1.0822212239838,0.6952698747532347,1.524971842083572,Stoch bonus c=1.0,2
